,folder,id,display_name,display_name.new,description,description.new,type,units,domain,labels,calculation,commonly_used,folder.new,nsrr_label
120,Sleep Monitoring/Actigraphy,sawa17,Average white levels during average rest period, from actigraphy,,NA,numeric,lux,,AvgExpLw_im_w7_f2,NA,NA,NA,AvgExpLw_im_w7_f2
107,Sleep Monitoring/Actigraphy,sawa158,Average fragmentation index in main sleep over weekend, from actigraphy,,NA,numeric,percent,,AvgIndFg_im_w2_f2,NA,NA,NA,AvgIndFg_im_w2_f2
56,Sleep Monitoring/Actigraphy,sawa111,Average fragmentation index in main sleeps over weekdays, from actigraphy,,NA,numeric,percent,,AvgIndFg_im_w5_f2,NA,NA,NA,AvgIndFg_im_w5_f2
220,Sleep Monitoring/Actigraphy,sawa26,Average sleep fragmentation, from actigraphy,"This variable is similar to variable sawa64; however, sawa26 is generated by Actiware software before data optimization.   ",NA,numeric,percent,,AvgIndFg_im_w7_f2,NA,NA,NA,AvgIndFg_im_w7_f2
343,Sleep Monitoring/Actigraphy,sawa64,Average fragmentation index in main sleep periods over all days, from actigraphy,"This variable is similar to variable sawa26; however, sawa26 is generated by Actiware software before data optimization.   ",NA,numeric,percent,,AvgIndFg_im_w7_f2,NA,NA,NA,AvgIndFg_im_w7_f2
212,Sleep Monitoring/Actigraphy,sawa252,Average fragmentation index during main sleep across non-workdays, from actigraphy,,NA,numeric,percent,,AvgIndFg_im_wn_f2,NA,NA,NA,AvgIndFg_im_wn_f2
263,Sleep Monitoring/Actigraphy,sawa299,Average fragmentation index in main sleeps over reliable days, from actigraphy,,NA,numeric,percent,,AvgIndFg_im_wr_f2,NA,NA,NA,AvgIndFg_im_wr_f2
160,Sleep Monitoring/Actigraphy,sawa205,Average fragmentation index in main sleep over workdays, from actigraphy,,NA,numeric,percent,,AvgIndFg_im_ww_f2,NA,NA,NA,AvgIndFg_im_ww_f2
99,Sleep Monitoring/Actigraphy,sawa150,Average sleep onset latency in main sleep over weekend, from actigraphy,,NA,numeric,minutes,,AvgLatSp_im_w2_f2,NA,NA,NA,AvgLatSp_im_w2_f2
47,Sleep Monitoring/Actigraphy,sawa103,Average sleep latency in main sleep over weekday, from actigraphy,,NA,numeric,minutes,,AvgLatSp_im_w5_f2,NA,NA,NA,AvgLatSp_im_w5_f2
142,Sleep Monitoring/Actigraphy,sawa19,Average sleep onset latency, from actigraphy,"This variable is similar to sawa56; however, sawa19 is generated by Actiware software before data optimization.",NA,numeric,minutes,,AvgLatSp_im_w7_f2,NA,NA,NA,AvgLatSp_im_w7_f2
334,Sleep Monitoring/Actigraphy,sawa56,Average onset latency in main sleep periods over all days, from actigraphy,"This variable is similar to sawa19; however, sawa19 is generated by Actiware software before data optimization.",NA,numeric,minutes,,AvgLatSp_im_w7_f2,NA,NA,NA,AvgLatSp_im_w7_f2
203,Sleep Monitoring/Actigraphy,sawa244,Average sleep onset latency in main sleep over non-workdays, from actigraphy,,NA,numeric,minutes,,AvgLatSp_im_wn_f2,NA,NA,NA,AvgLatSp_im_wn_f2
255,Sleep Monitoring/Actigraphy,sawa291,Average onset latency in main sleep over reliable days, from actigraphy,,NA,numeric,minutes,,AvgLatSp_im_wr_f2,NA,NA,NA,AvgLatSp_im_wr_f2
150,Sleep Monitoring/Actigraphy,sawa197,Average sleep onset latency in main sleep over workday, from actigraphy,,NA,numeric,minutes,,AvgLatSp_im_ww_f2,NA,NA,NA,AvgLatSp_im_ww_f2
105,Sleep Monitoring/Actigraphy,sawa156,Average sleep maintenance efficiency in main sleep over weekend, from actigraphy,"This variable is similar to variable sawa33; however, sawa33 is derived from Actiware variable sawa24 before data optimization.  ",NA,numeric,percent,,AvgMefSp_im_w2_f2,NA,NA,NA,AvgMefSp_im_w2_f2
298,Sleep Monitoring/Actigraphy,sawa33,Mean weekend sleep maintenance efficiency, from actigraphy,"This variable is similar to variable sawa156; however, sawa33 is derived from Actiware variable sawa24 before data optimization.  ",NA,numeric,percent,,AvgMefSp_im_w2_f2,NA,NA,NA,AvgMefSp_im_w2_f2
53,Sleep Monitoring/Actigraphy,sawa109,Average sleep maintenance efficiency in main sleep over weekdays, from actigraphy,"This variable is similar to variable sawa34; however, sawa34 is derived from Actiware variable sawa24 before data optimization. ",NA,numeric,percent,,AvgMefSp_im_w5_f2,NA,NA,NA,AvgMefSp_im_w5_f2
309,Sleep Monitoring/Actigraphy,sawa34,Mean weekday sleep maintance efficiency, from actigraphy,"This variable is similar to variable sawa109; however, sawa34 is derived from Actiware variable sawa24 before data optimization. ",NA,numeric,percent,,AvgMefSp_im_w5_f2,NA,NA,NA,AvgMefSp_im_w5_f2
198,Sleep Monitoring/Actigraphy,sawa24,Sleep maintenance efficiency, from actigraphy,"This variable is similar to the calculated variable sawa62; however, sawa24 is generated automatically by Actiware before data optimization.  ",NA,numeric,percent,,AvgMefSp_im_w7_f2,NA,NA,NA,AvgMefSp_im_w7_f2
341,Sleep Monitoring/Actigraphy,sawa62,Average sleep maintenance efficiency in main sleep over all days, from actigraphy,"This variable is similar to the calculated variable sawa24; however, sawa24 is generated automatically by Actiware before data optimization.  ",NA,numeric,percent,,AvgMefSp_im_w7_f2,NA,NA,NA,AvgMefSp_im_w7_f2
210,Sleep Monitoring/Actigraphy,sawa250,Average sleep maintenance efficiency in main sleeps across non-workdays, from actigraphy,,NA,numeric,percent,,AvgMefSp_im_wn_f2,NA,NA,NA,AvgMefSp_im_wn_f2
261,Sleep Monitoring/Actigraphy,sawa297,Average sleep maintenance efficiency in main sleep over reliable days, from actigraphy,,NA,numeric,percent,,AvgMefSp_im_wr_f2,NA,NA,NA,AvgMefSp_im_wr_f2
158,Sleep Monitoring/Actigraphy,sawa203,Average sleep maintenance efficiency in main sleeps over workdays, from actigraphy,,NA,numeric,percent,,AvgMefSp_im_ww_f2,NA,NA,NA,AvgMefSp_im_ww_f2
132,Sleep Monitoring/Actigraphy,sawa180,Average weekend mid time between in and out bed, from actigraphy,,NA,time,,,AvgMptRs_im_w2_f2,NA,NA,NA,AvgMptRs_im_w2_f2
80,Sleep Monitoring/Actigraphy,sawa133,Average weekday mid time between in and out of bed, from actigraphy,,NA,time,,,AvgMptRs_im_w5_f2,NA,NA,NA,AvgMptRs_im_w5_f2
366,Sleep Monitoring/Actigraphy,sawa86,Average mid time between in and out of bed, from actigraphy,,NA,time,,,AvgMptRs_im_w7_f2,NA,NA,NA,AvgMptRs_im_w7_f2
236,Sleep Monitoring/Actigraphy,sawa274,Average non-workday mid time between in and out of bed, from actigraphy,,NA,time,,,AvgMptRs_im_wn_f2,NA,NA,NA,AvgMptRs_im_wn_f2
289,Sleep Monitoring/Actigraphy,sawa321,Average mid time between in and out of bed across all reliable days, from actigraphy,,NA,time,,,AvgMptRs_im_wr_f2,NA,NA,NA,AvgMptRs_im_wr_f2
184,Sleep Monitoring/Actigraphy,sawa227,Average workday mid time between in and out of bed, from actigraphy,,NA,time,,,AvgMptRs_im_ww_f2,NA,NA,NA,AvgMptRs_im_ww_f2
134,Sleep Monitoring/Actigraphy,sawa182,Average weekend mid time between sleep onset and sleep offset, from actigraphy,,NA,time,,,AvgMptSp_im_w2_f2,NA,NA,NA,AvgMptSp_im_w2_f2
82,Sleep Monitoring/Actigraphy,sawa135,Average weekday mid time between sleep onset and offset, from actigraphy,,NA,time,,,AvgMptSp_im_w5_f2,NA,NA,NA,AvgMptSp_im_w5_f2
368,Sleep Monitoring/Actigraphy,sawa88,Average mid time between sleep onset and offset, from actigraphy,,NA,time,,,AvgMptSp_im_w7_f2,NA,NA,NA,AvgMptSp_im_w7_f2
238,Sleep Monitoring/Actigraphy,sawa276,Average mid time between sleep onset and offset across non-workdays, from actigraphy,,NA,time,,,AvgMptSp_im_wn_f2,NA,NA,NA,AvgMptSp_im_wn_f2
291,Sleep Monitoring/Actigraphy,sawa323,Average mid time between sleep onset and offset across all reliable days, from actigraphy,,NA,time,,,AvgMptSp_im_wr_f2,NA,NA,NA,AvgMptSp_im_wr_f2
186,Sleep Monitoring/Actigraphy,sawa229,Average workday mid time between sleep onset and offset, from actigraphy,,NA,time,,,AvgMptSp_im_ww_f2,NA,NA,NA,AvgMptSp_im_ww_f2
114,Sleep Monitoring/Actigraphy,sawa164,Average number of naps per weekend, from actigraphy,,NA,numeric,naps,,AvgNumNp_ib_w2_f2,NA,NA,NA,AvgNumNp_ib_w2_f2
64,Sleep Monitoring/Actigraphy,sawa119,Average number of naps per weekday at least 15 minutes in length, from actigraphy,,NA,numeric,naps per day,,AvgNumNp_ib_w5_f2,NA,NA,NA,AvgNumNp_ib_w5_f2
116,Sleep Monitoring/Actigraphy,sawa166,Average number of naps of at least 15 minutes in length across all weekend days, from actigraphy,,NA,numeric,naps,,AvgNumNp_in_w2_npge15_f2,NA,NA,NA,AvgNumNp_in_w2_npge15_f2
115,Sleep Monitoring/Actigraphy,sawa165,Average number of naps with any sleep recorded across all weekend days, from actigraphy,,NA,numeric,naps,,AvgNumNp_in_w2_npgt0_f2,NA,NA,NA,AvgNumNp_in_w2_npgt0_f2
63,Sleep Monitoring/Actigraphy,sawa118,Average number of naps of any sleep recorded across all weekdays, from actigraphy,,NA,numeric,naps per weekday,,AvgNumNp_in_w5_npgt0_f2,NA,NA,NA,AvgNumNp_in_w5_npgt0_f2
351,Sleep Monitoring/Actigraphy,sawa72,Average number of naps of at least 15 minutes in length across all days, from actigraphy,,NA,numeric,naps per day,,AvgNumNp_in_w7_npge15_f2,NA,NA,NA,AvgNumNp_in_w7_npge15_f2
350,Sleep Monitoring/Actigraphy,sawa71,Average number of naps of any sleep recorded across all days, from actigraphy,,NA,numeric,naps per day,,AvgNumNp_in_w7_npgt0_f2,NA,NA,NA,AvgNumNp_in_w7_npgt0_f2
221,Sleep Monitoring/Actigraphy,sawa260,Average number of naps of at least 15 minutes in length per non-workday, from actigraphy,,NA,numeric,naps,,AvgNumNp_in_wn_npge15_f2,NA,NA,NA,AvgNumNp_in_wn_npge15_f2
219,Sleep Monitoring/Actigraphy,sawa259,Average number of naps of any sleep recorded per non-workday, from actigraphy,,NA,numeric,naps,,AvgNumNp_in_wn_npgt0_f2,NA,NA,NA,AvgNumNp_in_wn_npgt0_f2
273,Sleep Monitoring/Actigraphy,sawa307,Average number of naps of at least 15 minutes in length per reliable day, from actigraphy,,NA,numeric,naps,,AvgNumNp_in_wr_npge15_f2,NA,NA,NA,AvgNumNp_in_wr_npge15_f2
272,Sleep Monitoring/Actigraphy,sawa306,Average number of naps of any sleep reocorded per reliable day, from actigraphy,,NA,numeric,naps,,AvgNumNp_in_wr_npgt0_f2,NA,NA,NA,AvgNumNp_in_wr_npgt0_f2
169,Sleep Monitoring/Actigraphy,sawa213,Average number of naps of at least 15 minutes in length across all wordays, from actigraphy,,NA,numeric,naps per day,,AvgNumNp_in_ww_npge15_f2,NA,NA,NA,AvgNumNp_in_ww_npge15_f2
168,Sleep Monitoring/Actigraphy,sawa212,Average number of naps per workday of any sleep recorded, from actigraphy,,NA,numeric,naps per day,,AvgNumNp_in_ww_npgt0_f2,NA,NA,NA,AvgNumNp_in_ww_npgt0_f2
108,Sleep Monitoring/Actigraphy,sawa159,Average number of sleep bouts (continuous periods of sleep) between sleep onset and sleep offset in main sleeps over weekends, from actigraphy,,NA,numeric,,,AvgNumSb_im_w2_f2,NA,NA,NA,AvgNumSb_im_w2_f2
57,Sleep Monitoring/Actigraphy,sawa112,Average number of sleep bouts (continuous periods of sleep) between sleep onset and sleep offset in main sleeps over weekdays, from actigraphy,,NA,numeric,,,AvgNumSb_im_w5_f2,NA,NA,NA,AvgNumSb_im_w5_f2
209,Sleep Monitoring/Actigraphy,sawa25,Average number of sleep bouts in an average sleep period, from actigraphy,"This variable is similar to variable sawa65; however, sawa25 is generated by Actiware software before data optimization.",NA,numeric,bouts,,AvgNumSb_im_w7_f2,NA,NA,NA,AvgNumSb_im_w7_f2
344,Sleep Monitoring/Actigraphy,sawa65,Average number of sleep bouts in main sleep periods over all days, from actigraphy,"This variable is similar to variable sawa25; however, sawa25 is generated by Actiware software before data optimization.",NA,numeric,bouts,,AvgNumSb_im_w7_f2,NA,NA,NA,AvgNumSb_im_w7_f2
213,Sleep Monitoring/Actigraphy,sawa253,Average sleep bout in main sleep period over non-workdays, from actigraphy,,NA,numeric,,,AvgNumSb_im_wn_f2,NA,NA,NA,AvgNumSb_im_wn_f2
266,Sleep Monitoring/Actigraphy,sawa300,Average sleep bout in main sleep period over reliable days, from actigraphy,,NA,numeric,,,AvgNumSb_im_wr_f2,NA,NA,NA,AvgNumSb_im_wr_f2
161,Sleep Monitoring/Actigraphy,sawa206,Average sleep bout in main sleep periods over workday, from actigraphy,,NA,numeric,,,AvgNumSb_im_ww_f2,NA,NA,NA,AvgNumSb_im_ww_f2
110,Sleep Monitoring/Actigraphy,sawa160,Average number of wake bouts (continuous periods of wake) between sleep onset and sleep offset in main sleeps over weekends, from actigraphy,,NA,numeric,,,AvgNumWb_im_w2_f2,NA,NA,NA,AvgNumWb_im_w2_f2
58,Sleep Monitoring/Actigraphy,sawa113,Average number of wake bouts (continuous periods of wake) between sleep onset and sleep offset in main sleeps over weekdays, from actigraphy,,NA,numeric,,,AvgNumWb_im_w5_f2,NA,NA,NA,AvgNumWb_im_w5_f2
187,Sleep Monitoring/Actigraphy,sawa23,Average number of wake bouts in an average sleep period, from actigraphy,"This variable is similar to variable sawa66; however, sawa23 is generated by Actiware software before data optimization. ",NA,numeric,bouts,,AvgNumWb_im_w7_f2,NA,NA,NA,AvgNumWb_im_w7_f2
345,Sleep Monitoring/Actigraphy,sawa66,Average number of wake bouts in main sleep periods over all days, from actigraphy,"This variable is similar to variable sawa23; however, sawa23 is generated by Actiware software before data optimization. ",NA,numeric,bouts,,AvgNumWb_im_w7_f2,NA,NA,NA,AvgNumWb_im_w7_f2
214,Sleep Monitoring/Actigraphy,sawa254,Average wake bout during main sleep period across non-workdays, from actigraphy,,NA,numeric,,,AvgNumWb_im_wn_f2,NA,NA,NA,AvgNumWb_im_wn_f2
267,Sleep Monitoring/Actigraphy,sawa301,Average wake bout in main sleep periods over reliable days, from actigraphy,,NA,numeric,,,AvgNumWb_im_wr_f2,NA,NA,NA,AvgNumWb_im_wr_f2
162,Sleep Monitoring/Actigraphy,sawa207,Average wake bout in main sleep periods over workdays, from actigraphy,,NA,numeric,,,AvgNumWb_im_ww_f2,NA,NA,NA,AvgNumWb_im_ww_f2
92,Sleep Monitoring/Actigraphy,sawa144,Average in bed duration from main sleep over weekend, from actigraphy,,NA,numeric,minutes,,AvgPrdRs_im_w2_f2,NA,NA,NA,AvgPrdRs_im_w2_f2
378,Sleep Monitoring/Actigraphy,sawa97,Average in bed duration from main sleep periods over weekdays, from actigraphy,,NA,numeric,minutes,,AvgPrdRs_im_w5_f2,NA,NA,NA,AvgPrdRs_im_w5_f2
109,Sleep Monitoring/Actigraphy,sawa16,Average duration of rest period, from actigraphy,"This variable is similar to sawa50; however, sawa16 is generated by Actiware software before data optimization. ",NA,numeric,minutes,,AvgPrdRs_im_w7_f2,NA,NA,NA,AvgPrdRs_im_w7_f2
328,Sleep Monitoring/Actigraphy,sawa50,Average in-bed duration from main sleep period over all days, from actigraphy,"This variable is similar to sawa16; however, sawa16 is generated by Actiware software before data optimization. ",NA,numeric,minutes,,AvgPrdRs_im_w7_f2,NA,NA,NA,AvgPrdRs_im_w7_f2
196,Sleep Monitoring/Actigraphy,sawa238,Average in bed duration from main sleep over non-workdays, from actigraphy,,NA,numeric,minutes,,AvgPrdRs_im_wn_f2,NA,NA,NA,AvgPrdRs_im_wn_f2
248,Sleep Monitoring/Actigraphy,sawa285,Average in bed duration from main sleep over reliable days, from actigraphy,,NA,numeric,minutes,,AvgPrdRs_im_wr_f2,NA,NA,NA,AvgPrdRs_im_wr_f2
144,Sleep Monitoring/Actigraphy,sawa191,Average in bed duration from main sleep over workday, from actigraphy,,NA,numeric,minutes,,AvgPrdRs_im_ww_f2,NA,NA,NA,AvgPrdRs_im_ww_f2
94,Sleep Monitoring/Actigraphy,sawa146,Average sleep duration from main sleep over weekend, from actigraphy,"This variable is similar to sawa31; however, sawa31 is derived from Actiware variable sawa18 before data optimization. ",NA,numeric,minutes,,AvgPrdSp_im_w2_f2,NA,NA,NA,AvgPrdSp_im_w2_f2
276,Sleep Monitoring/Actigraphy,sawa31,Mean weekend sleep duration, from actigraphy,"This variable is similar to sawa146; however, sawa31 is derived from Actiware variable sawa18 before data optimization. ",NA,numeric,minutes,,AvgPrdSp_im_w2_f2,NA,NA,NA,AvgPrdSp_im_w2_f2
287,Sleep Monitoring/Actigraphy,sawa32,Mean weekday sleep duration, from actigraphy,"This variable is similar to sawa99; however, sawa32 is derived from Actiware variable sawa18 before data optimization.",NA,numeric,minutes,,AvgPrdSp_im_w5_f2,NA,NA,NA,AvgPrdSp_im_w5_f2
380,Sleep Monitoring/Actigraphy,sawa99,Average sleep duration from main sleeps over weekdays, from actigraphy,"This variable is similar to sawa32; however, sawa32 is derived from Actiware variable sawa18 before data optimization.",NA,numeric,minutes,,AvgPrdSp_im_w5_f2,NA,NA,NA,AvgPrdSp_im_w5_f2
131,Sleep Monitoring/Actigraphy,sawa18,Average duration of sleep period, from actigraphy,"This variable is similar to sawa52; however, sawa18 is generated by Actiware software before data optimization.",NA,numeric,minutes,,AvgPrdSp_im_w7_f2,NA,NA,NA,AvgPrdSp_im_w7_f2
330,Sleep Monitoring/Actigraphy,sawa52,Average sleep duration from main sleep over all days, from actigraphy,"This variable is similar to sawa18; however, sawa18 is generated by Actiware software before data optimization.",NA,numeric,minutes,,AvgPrdSp_im_w7_f2,NA,NA,NA,AvgPrdSp_im_w7_f2
199,Sleep Monitoring/Actigraphy,sawa240,Average sleep duration from main sleep over non-workdays, from actigraphy,"This is the average duration of time between sleep onset and sleep offset across all non-workday main rest intervals, in minutes.",NA,numeric,minutes,,AvgPrdSp_im_wn_f2,NA,NA,NA,AvgPrdSp_im_wn_f2
250,Sleep Monitoring/Actigraphy,sawa287,Average sleep duration from main sleep over reliable days, from actigraphy,,NA,numeric,minutes,,AvgPrdSp_im_wr_f2,NA,NA,NA,AvgPrdSp_im_wr_f2
146,Sleep Monitoring/Actigraphy,sawa193,Average sleep duration from main sleep over workday, from actigraphy,,NA,numeric,minutes,,AvgPrdSp_im_ww_f2,NA,NA,NA,AvgPrdSp_im_ww_f2
137,Sleep Monitoring/Actigraphy,sawa185,Average blue light time above lux threshold per weekend, from actigraphy,,NA,numeric,minutes,,AvgTalLb_ib_w2_f2,NA,NA,NA,AvgTalLb_ib_w2_f2
85,Sleep Monitoring/Actigraphy,sawa138,Average blue light time above lux threshold per weekday, from actigraphy,,NA,numeric,minutes,,AvgTalLb_ib_w5_f2,NA,NA,NA,AvgTalLb_ib_w5_f2
372,Sleep Monitoring/Actigraphy,sawa91,Average blue light time above lux threshold per day, from actigraphy,,NA,numeric,minutes,,AvgTalLb_ib_w7_f2,NA,NA,NA,AvgTalLb_ib_w7_f2
241,Sleep Monitoring/Actigraphy,sawa279,Average blue light time above lux threshold on non-workdays, from actigraphy,,NA,numeric,minutes,,AvgTalLb_ib_wn_f2,NA,NA,NA,AvgTalLb_ib_wn_f2
294,Sleep Monitoring/Actigraphy,sawa326,Average blue light time above lux threshold per reliable day, from actigraphy,,NA,numeric,minutes,,AvgTalLb_ib_wr_f2,NA,NA,NA,AvgTalLb_ib_wr_f2
190,Sleep Monitoring/Actigraphy,sawa232,Average blue light time above lux threshold per workday, from actigraphy,,NA,numeric,minutes,,AvgTalLb_ib_ww_f2,NA,NA,NA,AvgTalLb_ib_ww_f2
138,Sleep Monitoring/Actigraphy,sawa186,Average green light time above lux threshold per weeked, from actigraphy,,NA,numeric,minutes,,AvgTalLg_ib_w2_f2,NA,NA,NA,AvgTalLg_ib_w2_f2
86,Sleep Monitoring/Actigraphy,sawa139,Average green light time above lux threshold per weekday, from actigraphy,,NA,numeric,minutes,,AvgTalLg_ib_w5_f2,NA,NA,NA,AvgTalLg_ib_w5_f2
373,Sleep Monitoring/Actigraphy,sawa92,Average green light time above lux threshold per day, from actigraphy,,NA,numeric,minutes,,AvgTalLg_ib_w7_f2,NA,NA,NA,AvgTalLg_ib_w7_f2
243,Sleep Monitoring/Actigraphy,sawa280,Average green light time above lux threshold on non-workdays, from actigraphy,,NA,numeric,minutes,,AvgTalLg_ib_wn_f2,NA,NA,NA,AvgTalLg_ib_wn_f2
